53.0,131.0
53.0,140.0
56.0,141.0
57.0,149.0
57.0,157.0
57.0,165.0
60.0,168.0
62.0,164.0
62.0,156.0
62.0,150.0
62.0,142.0
67.0,144.0
73.0,144.0
75.0,150.0
75.0,160.0
78.0,160.0
79.0,152.0
78.0,145.0
85.0,147.0
89.0,147.0
91.0,154.0
94.0,153.0
94.0,150.0
99.0,149.0
102.0,149.0
107.0,147.0
109.0,157.0
109.0,164.0
110.0,169.0
113.0,168.0
112.0,158.0
112.0,149.0
113.0,144.0
118.0,141.0
122.0,139.0
123.0,149.0
124.0,160.0
127.0,159.0
127.0,151.0
127.0,144.0
127.0,137.0
130.0,133.0
135.0,131.0
136.0,130.0
137.0,139.0
137.0,153.0
141.0,151.0
141.0,140.0
141.0,132.0
141.0,126.0
146.0,124.0
150.0,121.0
151.0,130.0
151.0,138.0
152.0,143.0
155.0,140.0
154.0,127.0
154.0,116.0
154.0,106.0
154.0,101.0
157.0,93.0
157.0,81.0
155.0,70.0
151.0,60.0
145.0,53.0
139.0,47.0
134.0,44.0
128.0,42.0
123.0,41.0
129.0,50.0
132.0,56.0
137.0,65.0
129.0,56.0
124.0,49.0
119.0,43.0
111.0,39.0
103.0,36.0
107.0,47.0
111.0,56.0
113.0,65.0
114.0,76.0
115.0,84.0
111.0,69.0
108.0,59.0
105.0,49.0
101.0,42.0
94.0,36.0
87.0,36.0
80.0,41.0
75.0,49.0
69.0,57.0
67.0,71.0
65.0,61.0
67.0,50.0
72.0,42.0
62.0,48.0
54.0,56.0
47.0,66.0
44.0,79.0
44.0,96.0
47.0,110.0
52.0,120.0
56.0,124.0
56.0,129.0
53.0,130.0
